% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: cluster border defined by density
%
@relation twodiamonds

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}

@data
0.0,0.0,1
0.1,-0.1,1
0.2,-0.2,1
0.3,-0.3,1
0.4,-0.4,1
0.5,-0.5,1
0.6,-0.6,1
0.7,-0.7,1
0.8,-0.8,1
0.9,-0.9,1
1.0,-1.0,1
0.1,0.1,1
0.2,0.0,1
0.3,-0.1,1
0.4,-0.2,1
0.5,-0.3,1
0.6,-0.4,1
0.7,-0.5,1
0.8,-0.6,1
0.9,-0.7,1
1.0,-0.8,1
1.1,-0.9,1
0.2,0.2,1
0.3,0.1,1
0.4,0.0,1
0.5,-0.1,1
0.6,-0.2,1
0.7,-0.3,1
0.8,-0.4,1
0.9,-0.5,1
1.0,-0.6,1
1.1,-0.7,1
1.2,-0.8,1
0.3,0.3,1
0.4,0.2,1
0.5,0.1,1
0.6,0.0,1
0.7,-0.1,1
0.8,-0.2,1
0.9,-0.3,1
1.0,-0.4,1
1.1,-0.5,1
1.2,-0.6,1
1.3,-0.7,1
0.4,0.4,1
0.5,0.3,1
0.6,0.2,1
0.7,0.1,1
0.8,0.0,1
0.9,-0.1,1
1.0,-0.2,1
1.1,-0.3,1
1.2,-0.4,1
1.3,-0.5,1
1.4,-0.6,1
0.5,0.5,1
0.6,0.4,1
0.7,0.3,1
0.8,0.2,1
0.9,0.1,1
1.0,0.0,1
1.1,-0.1,1
1.2,-0.2,1
1.3,-0.3,1
1.4,-0.4,1
1.5,-0.5,1
0.6,0.6,1
0.7,0.5,1
0.8,0.4,1
0.9,0.3,1
1.0,0.2,1
1.1,0.1,1
1.2,0.0,1
1.3,-0.1,1
1.4,-0.2,1
1.5,-0.3,1
1.6,-0.4,1
0.7,0.7,1
0.8,0.6,1
0.9,0.5,1
1.0,0.4,1
1.1,0.3,1
1.2,0.2,1
1.3,0.1,1
1.4,0.0,1
1.5,-0.1,1
1.6,-0.2,1
1.7,-0.3,1
0.8,0.8,1
0.9,0.7,1
1.0,0.6,1
1.1,0.5,1
1.2,0.4,1
1.3,0.3,1
1.4,0.2,1
1.5,0.1,1
1.6,0.0,1
1.7,-0.1,1
1.8,-0.2,1
0.9,0.9,1
1.0,0.8,1
1.1,0.7,1
1.2,0.6,1
1.3,0.5,1
1.4,0.4,1
1.5,0.3,1
1.6,0.2,1
1.7,0.1,1
1.8,0.0,1
1.9,-0.1,1
1.0,1.0,1
1.1,0.9,1
1.2,0.8,1
1.3,0.7,1
1.4,0.6,1
1.5,0.5,1
1.6,0.4,1
1.7,0.3,1
1.8,0.2,1
1.9,0.1,1
2.0,0.0,1
0.265107,-0.128992,1
1.557467,-0.396474,1
1.52641,-0.271604,1
1.107686,0.245652,1
0.695961,-0.610393,1
1.037322,0.791371,1
0.224731,-0.180042,1
0.771115,-0.637663,1
1.056659,-0.46218,1
1.690666,-0.270622,1
0.180777,-0.036863,1
0.65051,-0.136421,1
0.492933,0.26136,1
0.893797,-0.859765,1
1.821036,0.093296,1
1.242952,-0.70559,1
0.854639,0.648296,1
1.432244,0.209916,1
0.949382,0.879438,1
1.663758,-0.241367,1
1.376285,-0.250125,1
0.813344,0.270215,1
1.510183,-0.296802,1
0.572125,0.560099,1
1.161885,0.084911,1
0.854425,0.423521,1
1.431459,-0.127281,1
0.94789,-0.101034,1
0.9618,-0.746511,1
1.777433,0.20838,1
1.023917,-0.05908,1
0.912018,0.903901,1
0.878748,-0.653858,1
0.931269,0.436686,1
1.502629,0.171687,1
0.342548,0.124786,1
0.302577,0.190296,1
1.000463,0.652692,1
0.488955,0.050091,1
0.943884,0.440126,1
0.611217,-0.423593,1
0.443179,0.198084,1
0.724292,0.62161,1
0.992151,-0.269601,1
1.106272,-0.108561,1
0.678637,0.524368,1
1.06104,0.146657,1
1.49142,0.497287,1
0.997325,-0.245438,1
1.320587,0.499692,1
0.848266,0.356663,1
1.678349,-0.059541,1
0.914774,-0.29108,1
1.034869,-0.290679,1
1.075801,0.237908,1
0.94301,0.022146,1
1.775762,-0.102411,1
1.160141,0.17461,1
1.400917,0.436043,1
1.042589,-0.479164,1
1.467247,0.147473,1
1.374194,-0.529918,1
0.731071,0.629231,1
1.394098,-0.0703,1
1.5299,0.344513,1
1.30349,0.640155,1
0.645369,0.629674,1
0.482559,-0.11257,1
1.178962,-0.80848,1
1.117039,0.203908,1
0.749177,0.127407,1
1.58325,-0.27799,1
1.338762,0.366518,1
1.04004,0.588902,1
0.841599,-0.233431,1
0.552561,0.336476,1
0.911021,0.673821,1
0.703316,0.410075,1
1.041359,0.756345,1
1.421715,0.3478,1
1.026358,0.480983,1
0.964612,-0.808336,1
0.234238,-0.13874,1
0.287398,0.258791,1
0.492555,0.273141,1
0.983836,-0.855575,1
1.511837,0.071676,1
1.378887,0.219567,1
1.186726,-0.635659,1
0.263186,0.093099,1
0.307809,-0.218814,1
0.266297,0.016253,1
1.598802,0.118724,1
1.243589,-0.684193,1
1.361639,0.324897,1
0.479347,0.114051,1
1.812634,0.021236,1
1.273038,0.40824,1
1.429716,-0.383796,1
0.960245,0.768455,1
1.248831,0.700274,1
1.040149,0.505094,1
1.139803,0.56955,1
0.792018,0.597071,1
1.629657,-0.234071,1
1.353563,-0.300808,1
0.012576,-0.009423,1
1.497507,-0.052104,1
1.714172,-0.24505,1
1.052005,0.734785,1
1.180727,-0.527694,1
0.515031,0.504969,1
0.801003,-0.102383,1
0.755063,-0.564759,1
1.575371,0.26553,1
1.238326,-0.754891,1
1.731866,-0.169388,1
0.80666,0.43857,1
1.771463,0.174233,1
0.984289,0.968012,1
0.278801,0.071375,1
1.184539,0.369007,1
1.10555,-0.852265,1
0.181669,-0.165231,1
1.032604,0.555642,1
0.975554,-0.712834,1
0.944411,-0.741957,1
1.037707,0.702893,1
1.099205,0.74524,1
1.544776,-0.425607,1
1.345067,-0.569814,1
1.117072,0.301035,1
0.706024,0.205411,1
1.195957,0.526967,1
1.378489,-0.219258,1
0.877512,0.02624,1
1.605244,-0.211454,1
1.508727,-0.262151,1
1.14607,-0.411195,1
0.972369,-0.780041,1
1.289155,0.289145,1
1.078862,0.910614,1
0.224546,-0.083506,1
0.76132,-0.467345,1
0.92981,0.59332,1
0.660435,-0.57892,1
1.563167,-0.277107,1
0.596559,0.236656,1
0.603124,-0.355257,1
1.306702,-0.298627,1
0.802159,-0.174838,1
1.215736,-0.414727,1
0.344939,0.231997,1
1.314365,0.52366,1
1.629165,-0.283693,1
0.833363,-0.127844,1
1.132074,0.389947,1
1.223355,0.073262,1
0.973843,-0.913905,1
1.758228,-0.220818,1
0.859428,-0.329957,1
1.922112,0.025778,1
0.89795,0.54219,1
0.860508,-0.196126,1
1.21275,0.319596,1
1.271415,-0.273116,1
0.623502,0.281538,1
1.565949,-0.304895,1
0.328551,-0.296743,1
1.413467,-0.125752,1
1.294532,-0.26912,1
1.65193,0.300545,1
0.523694,-0.08052,1
0.160974,-0.031194,1
1.227737,-0.096469,1
0.652158,-0.033792,1
0.99683,-0.833129,1
0.260121,-0.181942,1
0.587383,-0.464448,1
1.279932,-0.705124,1
1.033078,-0.662914,1
0.967656,-0.793741,1
0.653891,0.004379,1
0.223835,-0.124222,1
0.941282,-0.297308,1
0.826856,-0.737013,1
0.761489,0.397509,1
0.529632,-0.435496,1
0.685737,-0.49226,1
0.687836,-0.442509,1
1.146852,-0.04869,1
1.078216,0.415259,1
1.020959,0.484167,1
1.175035,0.558088,1
1.2638,-0.112769,1
0.866962,-0.754303,1
1.310262,-0.042763,1
0.980217,-0.688875,1
1.321525,-0.276044,1
1.784607,-0.137957,1
0.99674,-0.970124,1
0.356985,0.354868,1
0.822657,-0.24653,1
0.897489,-0.359019,1
1.066591,0.845363,1
1.640398,0.2373,1
0.916524,-0.116933,1
0.943226,0.926283,1
1.024795,0.537431,1
1.072524,0.642227,1
1.466406,-0.317049,1
0.87813,-0.063929,1
0.944096,0.848191,1
1.360932,0.194805,1
0.779512,0.082003,1
0.386684,0.296434,1
1.046817,0.800625,1
1.543187,0.260087,1
1.046719,0.608442,1
0.67967,-0.367557,1
1.106631,0.05022,1
1.145771,-0.440987,1
1.250661,-0.090771,1
1.268813,0.587846,1
1.200524,0.581028,1
0.77293,0.744287,1
0.827231,0.053824,1
0.833833,-0.137113,1
0.133221,0.007552,1
1.129626,0.574021,1
0.692178,-0.227654,1
1.561345,0.036471,1
0.778483,-0.271307,1
0.097388,-0.038653,1
1.771008,0.17116,1
1.19428,0.278754,1
0.816224,0.541137,1
0.64371,0.119081,1
0.090758,-0.036852,1
0.757696,0.06155,1
0.90747,-0.070899,1
0.897919,-0.164906,1
1.011464,0.4364,1
1.373441,-0.359257,1
0.852565,-0.276537,1
