% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: density vs. distance
%
@relation wingnut

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}

@data
0.15,0.0,1
0.15,0.25,1
0.15,0.5,1
0.15,0.75,1
0.15,1.0,1
0.15,1.25,1
0.15,1.5,1
0.15,1.75,1
0.15,2.0,1
0.15,2.25,1
0.15,2.5,1
0.15,2.75,1
0.15,3.0,1
-0.15,3.0,2
-0.15,2.75,2
-0.15,2.5,2
-0.15,2.25,2
-0.15,2.0,2
-0.15,1.75,2
-0.15,1.5,2
-0.15,1.25,2
-0.15,1.0,2
-0.15,0.75,2
-0.15,0.5,2
-0.15,0.25,2
-0.15,0.0,2
0.1590287,0.414803,1
-0.1590287,2.585197,2
0.1615557,0.8163109,1
-0.1615557,2.183689,2
0.1627658,1.628365,1
-0.1627658,1.371635,2
0.1638636,0.778645,1
-0.1638636,2.221355,2
0.1743435,0.5312497,1
-0.1743435,2.46875,2
0.1781862,1.774766,1
-0.1781862,1.225234,2
0.1821549,1.170735,1
-0.1821549,1.829265,2
0.1851598,0.4267521,1
-0.1851598,2.573248,2
0.1882799,1.410506,1
-0.1882799,1.589494,2
0.188569,1.376922,1
-0.188569,1.623078,2
0.1966325,1.7077,1
-0.1966325,1.2923,2
0.2075332,1.206062,1
-0.2075332,1.793938,2
0.2076227,1.103336,1
-0.2076227,1.896664,2
0.2114885,0.941725,1
-0.2114885,2.058275,2
0.2118931,2.819647,1
-0.2118931,0.1803527,2
0.212571,0.2896754,1
-0.212571,2.710325,2
0.2128912,1.398912,1
-0.2128912,1.601088,2
0.2147423,2.239866,1
-0.2147423,0.7601344,2
0.2191172,0.1423022,1
-0.2191172,2.857698,2
0.220019,0.1433141,1
-0.220019,2.856686,2
0.2225046,0.4031978,1
-0.2225046,2.596802,2
0.2242973,0.4770325,1
-0.2242973,2.522967,2
0.2300088,1.972408,1
-0.2300088,1.027592,2
0.2300904,0.1130746,1
-0.2300904,2.886925,2
0.2306559,1.760406,1
-0.2306559,1.239594,2
0.2345368,1.358276,1
-0.2345368,1.641724,2
0.2382129,0.5116846,1
-0.2382129,2.488315,2
0.2418566,0.9933721,1
-0.2418566,2.006628,2
0.2460321,2.472903,1
-0.2460321,0.5270968,2
0.2465841,1.129498,1
-0.2465841,1.870502,2
0.2491534,2.61987,1
-0.2491534,0.3801298,2
0.2494161,0.329157,1
-0.2494161,2.670843,2
0.2566993,0.709393,1
-0.2566993,2.290607,2
0.2571354,2.745335,1
-0.2571354,0.2546655,2
0.2576924,0.5191773,1
-0.2576924,2.480823,2
0.2598367,0.4058427,1
-0.2598367,2.594157,2
0.2618317,1.324411,1
-0.2618317,1.675589,2
0.2634652,1.329586,1
-0.2634652,1.670414,2
0.2648148,0.5025863,1
-0.2648148,2.497414,2
0.2660564,1.526218,1
-0.2660564,1.473782,2
0.2693419,1.218527,1
-0.2693419,1.781473,2
0.2696098,1.901248,1
-0.2696098,1.098752,2
0.2699736,2.191088,1
-0.2699736,0.8089122,2
0.271743,0.1616855,1
-0.271743,2.838314,2
0.2728466,2.388412,1
-0.2728466,0.6115876,2
0.2758365,0.5975127,1
-0.2758365,2.402487,2
0.2778668,1.449906,1
-0.2778668,1.550094,2
0.2803567,0.4630024,1
-0.2803567,2.536998,2
0.2834706,2.363583,1
-0.2834706,0.6364175,2
0.2842297,1.212199,1
-0.2842297,1.787801,2
0.2895141,0.08353711,1
-0.2895141,2.916463,2
0.293201,1.312039,1
-0.293201,1.687961,2
0.2970828,0.4075718,1
-0.2970828,2.592428,2
0.2983451,0.06802379,1
-0.2983451,2.931976,2
0.3016371,0.3751969,1
-0.3016371,2.624803,2
0.305449,1.232012,1
-0.305449,1.767988,2
0.3074712,0.635418,1
-0.3074712,2.364582,2
0.307828,1.768243,1
-0.307828,1.231757,2
0.3096033,1.735787,1
-0.3096033,1.264213,2
0.3111458,1.635374,1
-0.3111458,1.364626,2
0.3123868,0.8317943,1
-0.3123868,2.168206,2
0.314158,1.156146,1
-0.314158,1.843854,2
0.3182379,1.477028,1
-0.3182379,1.522972,2
0.3216316,1.264257,1
-0.3216316,1.735743,2
0.3218975,1.063381,1
-0.3218975,1.936619,2
0.3264251,1.701107,1
-0.3264251,1.298893,2
0.3291699,1.036581,1
-0.3291699,1.963419,2
0.3311433,0.1206059,1
-0.3311433,2.879394,2
0.3371696,0.7681692,1
-0.3371696,2.231831,2
0.3376605,1.012583,1
-0.3376605,1.987417,2
0.3379613,0.55048,1
-0.3379613,2.44952,2
0.3414081,0.4471486,1
-0.3414081,2.552851,2
0.3425257,0.3337976,1
-0.3425257,2.666202,2
0.3595862,0.03188951,1
-0.3595862,2.96811,2
0.3711733,0.04717409,1
-0.3711733,2.952826,2
0.3721513,2.007321,1
