% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > data <- mlbench.xor(1000,3)
%
% The inputs of the XOR problem are uniformly distributed on
% the \code{d}-dimensional cube with corners \eqn{\{\pm 1\}}{\{+-1\}}. Each pair of
% opposite corners form one class, hence the total number of classes is
% \eqn{2^(d-1)}
%
@relation xor
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4}
%
@data
0.3396073524,-0.1292566629,0.7562847985,3
-0.1437409096,0.5701419269,0.1646755207,1
0.3241416812,-0.0188083388,-0.949971464,1
-0.603288847,0.0689298315,-0.9312049961,3
-0.8327242867,-0.0788251637,0.1748792594,2
-0.5888822586,-0.6841492387,0.2485142248,2
-0.9099747706,-0.2638885775,-0.8950651665,4
0.1352236182,0.5381404543,0.6791872238,4
0.9412662187,0.979192154,0.7210632865,4
-0.4734076592,0.3605304873,-0.1058861609,3
0.5676318677,0.9320432548,-0.8910066676,2
-0.1984286313,-0.739851993,0.1247143578,2
-0.8484986229,-0.2282255222,-0.0047202003,4
-0.4660322098,-0.2198119345,0.0244456669,2
0.0822059787,-0.234956129,-0.2491526138,1
-0.9437980223,-0.5557462214,0.1992709674,2
0.509419241,0.8137784209,-0.1696160943,2
0.8764709285,0.5061330022,0.4309834279,4
-0.259415675,-0.314611807,-0.2531502577,4
0.6436315882,0.5837133988,-0.1524741082,2
0.9646918774,0.6650519553,0.290689976,4
0.4310260499,-0.9412652981,-0.4165013093,1
-0.0892762505,0.9845292531,0.8243087851,1
0.0636955923,0.9381197612,-0.3322274392,2
0.958951531,-0.4095554347,-0.3601851338,1
0.2245015958,-0.1490170215,-0.812850303,1
-0.6796179037,-0.9679950858,-0.2287354958,4
0.5852950155,-0.2282049092,-0.9215158895,1
-0.6685724482,-0.587084509,0.6683237422,2
-0.6165308272,-0.8264883766,-0.8223469551,4
0.7679277053,0.5364904325,0.4458075687,4
0.0816755025,-0.9176370818,-0.2594048986,1
-0.1647505458,-0.9267786737,-0.4072928657,4
0.4784231735,0.3054413926,0.4087860244,4
0.4195834994,0.7754917364,-0.1714137578,2
0.4980192422,0.0112454495,-0.3813644815,2
-0.4711450026,-0.8331607278,-0.030134222,4
0.9040700714,0.0748158651,0.3102278397,4
-0.6107125091,0.9428614257,0.4350556452,1
0.2165469606,0.6197991311,-0.9581412054,2
0.3638796248,0.7181700021,0.3508357177,4
-0.7343266457,0.5538091771,0.4213920753,1
-0.4690482449,0.5985042434,0.0924850684,1
0.9319891413,0.3013201244,-0.8659813213,2
0.805203761,0.6979201338,-0.3811895181,2
-0.842026968,0.2479429878,-0.670626258,3
-0.8193411538,0.7914999304,0.6635271865,1
-0.0160423066,-0.9063456566,-0.9696798483,4
0.7568515646,0.7342990669,0.049935821,4
0.8597232541,-0.2279169657,0.9833016288,3
0.8848213162,0.0575820077,-0.1155018224,2
0.0700566471,-0.886291428,-0.278967862,1
0.6240856056,0.4504225967,-0.2286611889,2
0.3021965721,0.1983288638,-0.4163688058,2
-0.7058214885,-0.2024029274,0.8684638464,2
0.3349928213,0.7575414153,-0.8197966525,2
-0.7194277728,-0.3009100738,0.6420350522,2
-0.4312075591,-0.8812335785,0.3267527409,2
0.8311239108,0.5984066324,-0.0412934693,2
0.9970521354,0.5063396362,0.5399280274,4
-0.636497227,-0.5235028639,0.9498441103,2
0.1894842717,0.1147462772,0.5484402217,4
-0.0554945725,0.8168022945,-0.0390518387,3
0.4811469004,-0.9488754156,0.696581596,3
0.893504364,0.9041338237,-0.3470892021,2
0.0518150995,-0.2151059858,0.8948597657,3
-0.7345246156,0.6556588016,0.7865078864,1
-0.216896886,-0.2964658663,-0.6087609166,4
-0.4413822121,0.692696217,-0.7272672597,3
-0.0010349029,0.4659763947,-0.0433657095,3
0.5691772825,-0.9294557213,0.2659495226,3
0.9590773829,-0.7178042363,-0.5792248179,1
-0.7953484445,-0.4426482497,-0.8079552641,4
-0.2271492509,0.3463774147,0.0776931881,1
-0.4636171591,-0.4012249867,0.4313293495,2
0.1332459506,-0.5625902205,0.2027165252,3
-0.0185453659,0.2951786155,0.8543822812,1
-0.8242687983,-0.8941234392,0.7667442667,2
-0.601553286,-0.3105846476,-0.5743360394,4
0.3013177812,-0.2752475063,0.0544570726,3
0.7632567389,-0.8921116437,0.3032895573,3
0.8669214528,0.330329102,0.2228697254,4
0.0754954098,-0.1981681054,-0.3220616439,1
-0.1482707947,0.5697015515,0.4412319981,1
0.4680198487,-0.2613734663,0.5164172989,3
-0.5433580386,-0.2354285652,-0.3588215853,4
-0.2512832135,-0.8566356557,0.9120574552,2
-0.6213677465,0.9743445828,-0.2625173805,3
-0.0510009187,0.418980062,-0.9419613513,3
0.7149954676,-0.6239817999,-0.2800186197,1
-0.1038969839,0.0025698789,-0.6440694369,3
0.899517857,-0.1654358655,-0.7813019683,1
-0.3144025998,0.3086743262,0.3031707369,1
-0.498993956,-0.1781769134,-0.2834274909,4
0.80320977,-0.0925490293,-0.4747868879,1
-0.6591233024,0.2009284957,-0.0064283055,3
-0.6731284615,-0.1885638591,-0.4911856716,4
0.2032644874,0.1429172191,-0.5400345493,2
0.8140486199,0.5934772938,-0.7261685943,2
-0.1389529118,0.4863401563,-0.7182311052,3
0.9429733451,0.5249975794,0.4714681772,4
-0.4108664752,0.0207425752,-0.5967660691,3
-0.6033960171,-0.5568330195,-0.449081331,4
-0.1482099579,0.8608362959,0.623629943,1
0.7353999577,-0.5750233419,0.2666749246,3
-0.3416680815,0.9281377373,-0.9255343406,3
0.9227375202,0.3402821161,-0.650556325,2
-0.2307924721,-0.0985868159,-0.3810209534,4
-0.9141847421,0.7708909097,0.7729896395,1
-0.3393409806,0.5453848829,-0.7048145989,3
-0.3077500816,0.595504222,-0.4743497605,3
0.2920936071,-0.3205328244,-0.906871676,1
0.8808177966,-0.4382504709,-0.3901127186,1
0.9202063032,-0.4331588545,0.3873986886,3
-0.7545911502,-0.9731109748,0.1503846296,2
0.941322017,-0.1234463691,-0.1427487638,1
-0.6088606496,-0.7476627817,0.1079496043,2
0.5858662184,-0.0976875667,-0.8466275809,1
-0.5657889624,-0.9536908106,0.6949416222,2
0.0865185284,-0.6067248001,-0.6017372464,1
-0.5138582676,-0.8367795753,0.8671792704,2
0.5306764948,-0.435773016,-0.8834013208,1
0.8528383556,0.9403538192,-0.5529315504,2
0.8849173319,0.0937351733,0.455976428,4
0.3171996525,-0.9898836943,0.5798344957,3
0.023341307,0.5356864361,-0.1808160315,2
0.6366879093,-0.8363678241,-0.7472557602,1
0.4517330355,0.6201897427,-0.9222795218,2
0.5248769727,-0.4408485256,0.321933479,3
-0.8299649628,-0.6377156312,0.2624087599,2
-0.9429755975,-0.5966503499,0.5428797547,2
0.7920240564,0.4635095103,-0.5165907186,2
0.7767913542,-0.6514168037,-0.9898520894,1
-0.2591580311,0.7830973174,-0.4451238192,3
0.275132237,-0.9006565879,0.7291980959,3
0.8858448407,0.0919344751,-0.0259033213,2
-0.977718458,-0.7523367787,0.6958281435,2
-0.4885077071,-0.1217661165,0.1552876201,2
0.0154762357,0.2763737715,0.2968364498,4
0.1423358251,-0.9907132587,-0.1011030208,1
-0.6488725254,-0.7765169167,-0.5943790367,4
0.9813892189,-0.4088514433,-0.9189542346,1
-0.6201991825,-0.9607587582,0.8316550618,2
-0.0134561514,0.2389721512,0.9016735791,1
0.048296059,0.4128812603,-0.2062734379,2
-0.5666010566,-0.7798426435,0.8973382991,2
0.9727777066,-0.660625597,-0.3847736651,1
0.0818256009,0.1064905897,0.8771957452,4
0.4979182845,-0.1602818482,-0.9714311659,1
0.5103068296,0.2342817094,0.840752549,4
0.4543389673,0.4946453264,-0.6526305322,2
0.4453674867,-0.3149399552,-0.2421251577,1
0.6280698795,0.4584759669,0.5934871682,4
0.4067049706,0.3026816058,0.4611077881,4
-0.4224890056,0.6041448736,-0.7424368756,3
0.9480440971,-0.5968339182,0.4576927791,3
-0.4824821055,0.3861523755,0.978513442,1
-0.9743570322,0.8773723827,-0.7122467202,3
0.8635043437,-0.3042064584,-0.056667408,1
0.7810480362,0.7998724724,-0.2148852409,2
-0.9175409582,0.1191053865,0.8332701628,1
-0.7585018529,-0.3554183319,0.1093564965,2
-0.6162586794,0.4420839115,-0.4177328148,3
0.0996174971,0.1940619899,0.007317374,4
-0.7596099102,-0.6133943056,-0.4329740694,4
0.4927074746,-0.9623746392,0.9288650937,3
0.5789676434,-0.8737210226,0.490310757,3
0.0671845279,-0.629762514,0.4288946819,3
0.3307376453,-0.1647914811,0.9633536995,3
0.2789065349,-0.1132825138,0.9047056884,3
-0.2216416891,-0.9443915305,-0.0276713879,4
-0.8939528032,0.8026651572,-0.3507993654,3
-0.1408839654,-0.8506758851,-0.9762969734,4
0.2546292916,-0.7777326768,-0.5822191439,1
0.5020249761,0.2654752447,0.0389705752,4
-0.7058102805,-0.5136643248,-0.7513744738,4
-0.1606761483,-0.4759831741,0.0356979221,2
-0.2733678613,0.5187694454,-0.2624342022,3
0.9586518873,0.1081299023,0.0343000856,4
-0.8824845194,0.9755181819,0.2328083036,1
0.3604639703,0.2532849275,0.0174373193,4
-0.8081497019,-0.3056621472,0.394143783,2
0.7650926039,-0.7455384857,-0.3306228588,1
-0.6880050637,-0.8520221114,0.982775751,2
0.5777971772,0.3415280692,-0.6480718702,2
-0.454236262,-0.8564447784,-0.5969641241,4
-0.7254083105,-0.575257773,-0.2285532309,4
0.8939388301,-0.0478194733,-0.4061544971,1
0.6976771187,0.5411744304,-0.7090014219,2
0.9797062054,-0.8056937135,-0.3054579911,1
-0.4570537996,-0.2004216081,0.1858035508,2
-0.0880497904,0.1835292373,-0.8448612583,3
-0.9532039519,0.7623468889,0.7162976521,1
0.5243068184,-0.9413797711,0.8072031247,3
-0.0609014663,-0.3404962579,0.5487037012,2
-0.4830031372,0.2362389439,0.1224569576,1
0.6238116799,0.9222260835,0.7267395179,4
-0.0283710761,0.6409738534,-0.5705694798,3
-0.798856501,0.0315539432,0.2548663323,1
-0.5415294962,0.6041424209,-0.6478583422,3
0.9189911499,-0.7542290431,-0.5301467814,1
-0.772469216,-0.9346016375,-0.084424864,4
-0.5632504146,0.316132958,-0.6050998983,3
-0.6510157059,0.0766586056,-0.4999276572,3
0.2672864692,-0.7247376889,-0.2053259723,1
0.1108690836,0.8925088854,0.2902454543,4
0.1335580321,-0.4277096288,-0.7770047248,1
-0.9574556444,0.5851512044,0.9503264022,1
0.5798563911,0.5837684949,0.5164024699,4
-0.2905912963,0.081020046,0.9184790635,1
-0.4264122616,-0.8672551173,0.2532177805,2
-0.107461567,0.6235048692,0.0936048725,1
0.3390067676,-0.5012506209,-0.8959127143,1
-0.2807841352,-0.61675135,0.4242650298,2
-0.0093453005,-0.3139190837,-0.4747274555,4
0.1338185924,0.5271839332,0.3413698236,4
0.8032172229,-0.2069674069,0.9511793056,3
0.7683891794,-0.1522448305,-0.3392980271,1
-0.8470122633,0.3565939497,-0.8411015118,3
-0.3343234565,-0.7104904731,0.9959541182,2
-0.7864835919,-0.9223272759,-0.6090579578,4
0.1506622517,0.9027525694,-0.1326054535,2
-0.8073484437,0.9805403221,0.3169675516,1
0.5730131259,0.347551804,0.3337356756,4
-0.8000436598,0.2667692648,-0.7498129481,3
0.2427944727,-0.3631850719,-0.605940125,1
-0.2959367256,-0.5649114661,0.8454211624,2
0.0483880509,0.5310657495,0.2634051568,4
-0.1852492481,-0.8692920976,-0.7244704845,4
0.6308163991,-0.551115985,0.5983552961,3
-0.8031739113,0.4490288869,0.1076899632,1
0.7929492742,-0.1718330137,-0.9216728476,1
-0.9367018705,-0.6238778401,-0.5967224371,4
-0.6995401471,0.7107855161,0.5295299473,1
-0.4548081835,-0.8229380087,-0.0969152837,4
0.6636101622,-0.4566848585,0.9350259346,3
0.7104446469,0.1931728688,0.8727908125,4
-0.4963257671,0.666334636,0.7425205801,1
-0.0795184728,0.4067534702,-0.1074542082,3
-0.0027171993,0.9316649614,-0.1685222602,3
0.5193720376,-0.9939017743,0.0333250482,3
-0.4018821283,0.1502033034,0.997220553,1
-0.5121065052,0.06603806,-0.7172472309,3
0.8688928736,0.4021026078,-0.1865902548,2
0.6542173997,0.9798819791,0.4851118592,4
-0.8005328588,-0.1234081686,-0.8246509214,4
-0.7986719622,-0.6075129216,0.3344168011,2
0.3096859325,0.2688507116,0.8217326612,4
0.7351609576,0.9780499106,0.3859636076,4
-0.002163928,0.34696913,-0.0512877549,3
-0.278251749,0.4447779628,-0.4105466255,3
0.6383109936,0.2982643298,-0.8051212402,2
0.8396356674,0.2601538189,-0.381950066,2
0.6674992321,-0.1341134585,-0.1019174005,1
0.233790501,0.6650854405,0.6202248,4
-0.190313668,-0.1162238172,-0.3015539064,4
0.4020625744,-0.6119386684,-0.0137437657,1
-0.796056868,-0.3505855328,0.3747521061,2
-0.0653902707,-0.5403745566,0.1521094348,2
0.1860379349,-0.5366590824,0.6686815755,3
-0.1125517143,-0.9526713877,-0.2596641998,4
