x,y,CLASS
0.454461,0.515155,0
0.455011,0.513508,0
0.447591,0.517825,0
0.435726,0.520923,0
0.464084,0.526074,0
0.446093,0.524381,0
0.452896,0.529769,0
0.454237,0.530859,0
0.469047,0.526534,0
0.43962,0.545917,0
0.46108,0.536289,0
0.42923,0.546703,0
0.454118,0.545197,0
0.436836,0.527878,0
0.441789,0.545768,0
0.430267,0.514452,0
0.448741,0.518511,0
0.436189,0.541008,0
0.435906,0.527564,0
0.43518,0.53355,0
0.443329,0.530744,0
0.441818,0.518023,0
0.436804,0.533855,0
0.432485,0.541224,0
0.422427,0.527023,0
0.444363,0.521794,0
0.43729,0.511967,0
0.432851,0.515057,0
0.443106,0.527928,0
0.438074,0.527629,0
0.430468,0.515601,0
0.405184,0.518791,0
0.42016,0.518144,0
0.425268,0.513475,0
0.416583,0.506347,0
0.428161,0.495909,0
0.451064,0.510929,0
0.4146,0.495164,0
0.448951,0.51977,0
0.446687,0.503538,0
0.428652,0.49264,0
0.431106,0.504904,0
0.440459,0.502454,0
0.429798,0.520159,0
0.439912,0.499259,0
0.447743,0.489602,0
0.43901,0.496196,0
0.453824,0.485458,0
0.456195,0.498014,0
0.449828,0.509408,0
0.447553,0.490524,0
0.451825,0.520009,0
0.455254,0.517237,0
0.463173,0.507652,0
0.452398,0.516712,0
0.446758,0.521498,0
0.46563,0.50621,0
0.464592,0.513033,0
0.453382,0.523255,0
0.45429,0.517703,0
0.451774,0.514134,0
0.575648,0.51469,1
0.57364,0.512995,1
0.573544,0.531428,1
0.584782,0.507739,1
0.578688,0.5507,1
0.581786,0.549372,1
0.587784,0.551599,1
0.569068,0.57199,1
0.571263,0.561069,1
0.568827,0.580861,1
0.554358,0.563809,1
0.543766,0.568128,1
0.547353,0.562659,1
0.55556,0.593942,1
0.554405,0.607136,1
0.551363,0.601585,1
0.541872,0.605598,1
0.551022,0.603627,1
0.54837,0.608677,1
0.517289,0.647703,1
0.544456,0.615274,1
0.516274,0.636196,1
0.506941,0.64378,1
0.502486,0.636223,1
0.511367,0.64511,1
0.511032,0.631417,1
0.494899,0.658846,1
0.475381,0.644764,1
0.482173,0.65019,1
0.477902,0.650418,1
0.471682,0.646609,1
0.460755,0.620748,1
0.461829,0.641923,1
0.446298,0.644701,1
0.442709,0.667367,1
0.433222,0.654307,1
0.446512,0.666239,1
0.429927,0.655318,1
0.420388,0.651373,1
0.424066,0.651387,1
0.423918,0.644282,1
0.405101,0.641504,1
0.400688,0.637617,1
0.39315,0.6453,1
0.402863,0.641121,1
0.3905,0.62555,1
0.360468,0.624136,1
0.37361,0.613546,1
0.378875,0.615722,1
0.361188,0.619065,1
0.368112,0.627318,1
0.346414,0.62099,1
0.337913,0.614736,1
0.356253,0.609407,1
0.352032,0.591858,1
0.337528,0.605428,1
0.336005,0.58436,1
0.33853,0.588436,1
0.314834,0.594071,1
0.318751,0.58434,1
0.32341,0.581643,1
0.301122,0.566421,1
0.326388,0.554847,1
0.325935,0.553715,1
0.307441,0.547172,1
0.323872,0.53234,1
0.304292,0.55215,1
0.332425,0.524875,1
0.306531,0.519939,1
0.322567,0.539704,1
0.316773,0.530379,1
0.308944,0.502165,1
0.307797,0.500226,1
0.308521,0.497176,1
0.309983,0.49529,1
0.595084,0.511981,1
0.323086,0.449785,1
0.330663,0.464271,1
0.31947,0.475685,1
0.334846,0.459345,1
0.33748,0.463028,1
0.329888,0.462757,1
0.335021,0.448985,1
0.344141,0.433571,1
0.343044,0.43018,1
0.343101,0.442467,1
0.350673,0.413371,1
0.353145,0.420496,1
0.348654,0.426774,1
0.362634,0.415445,1
0.360914,0.400814,1
0.37341,0.404906,1
0.386181,0.394815,1
0.378879,0.399106,1
0.409294,0.41041,1
0.386602,0.41979,1
0.392764,0.397753,1
0.407566,0.425094,1
0.39424,0.415073,1
0.427681,0.403999,1
0.442182,0.385148,1
0.420834,0.396546,1
0.423071,0.401657,1
0.456506,0.396869,1
0.446645,0.390828,1
0.452392,0.396542,1
0.457022,0.37733,1
0.468877,0.394074,1
0.482158,0.385145,1
0.487831,0.397935,1
0.475124,0.406936,1
0.47202,0.38975,1
0.488441,0.389093,1
0.494428,0.397192,1
0.492941,0.410976,1
0.505276,0.40799,1
0.520688,0.420408,1
0.512514,0.405815,1
0.521653,0.413522,1
0.537483,0.408696,1
0.544546,0.417116,1
0.531511,0.422171,1
0.561279,0.443078,1
0.537847,0.445144,1
0.553449,0.439904,1
0.56096,0.448026,1
0.548795,0.456426,1
0.564118,0.447708,1
0.560392,0.455952,1
0.554598,0.476576,1
0.553346,0.466388,1
0.572871,0.480464,1
0.591815,0.48056,1
0.559416,0.492001,1
0.579176,0.486895,1
0.567234,0.506765,1
0.577333,0.517098,1
0.597806,0.507231,1
0.296756,0.462987,1
0.781783,0.513797,2
0.778527,0.520436,2
0.787316,0.579182,2
0.788334,0.578229,2
0.769613,0.589511,2
0.744972,0.612855,2
0.76151,0.643388,2
0.751426,0.67017,2
0.729683,0.677012,2
0.705828,0.71227,2
0.711177,0.720163,2
0.690452,0.745585,2
0.690838,0.74595,2
0.658662,0.778184,2
0.644421,0.761186,2
0.620697,0.789471,2
0.604903,0.806871,2
0.607589,0.807852,2
0.573249,0.807454,2
0.559764,0.825077,2
0.553643,0.827983,2
0.526902,0.842579,2
0.505136,0.863037,2
0.457245,0.848987,2
0.468526,0.859615,2
0.423592,0.860406,2
0.414621,0.842597,2
0.399864,0.844065,2
0.357126,0.84643,2
0.349073,0.826732,2
0.307119,0.833014,2
0.302309,0.821752,2
0.283467,0.81446,2
0.282066,0.797965,2
0.24806,0.782826,2
0.225961,0.771685,2
0.214234,0.75262,2
0.187026,0.754567,2
0.179971,0.752151,2
0.18136,0.723781,2
0.148958,0.703244,2
0.149824,0.675323,2
0.13927,0.645864,2
0.140629,0.625859,2
0.119432,0.617278,2
0.135178,0.595844,2
0.121715,0.570026,2
0.103816,0.550705,2
0.125013,0.53384,2
0.096776,0.517749,2
0.119751,0.484844,2
0.110908,0.470258,2
0.122647,0.477722,2
0.119157,0.448339,2
0.12946,0.413594,2
0.12427,0.38439,2
0.148122,0.359079,2
0.169216,0.368783,2
0.150553,0.32465,2
0.182741,0.305236,2
0.195519,0.301202,2
0.194872,0.277824,2
0.211607,0.265327,2
0.234863,0.263881,2
0.261309,0.239653,2
0.263044,0.230449,2
0.298383,0.222542,2
0.296665,0.208675,2
0.335615,0.206091,2
0.35565,0.193933,2
0.35512,0.169763,2
0.396381,0.190662,2
0.391405,0.17904,2
0.420879,0.170546,2
0.450951,0.189513,2
0.472296,0.201868,2
0.493429,0.182042,2
0.5026,0.163206,2
0.531135,0.198568,2
0.554605,0.192984,2
0.601716,0.205646,2
0.582791,0.234327,2
0.598676,0.223323,2
0.625207,0.246504,2
0.633504,0.267431,2
0.662651,0.267505,2
0.675004,0.276351,2
0.696801,0.306083,2
0.700178,0.300235,2
0.735599,0.357267,2
0.719734,0.364577,2
0.748657,0.345629,2
0.744456,0.393119,2
0.743894,0.40871,2
0.753634,0.418115,2
0.775511,0.459041,2
0.765766,0.488064,2
0.787452,0.500661,2
0.77606,0.525047,2
