x,y,CLASS
0.176401,0.621595,3
0.166671,0.609044,3
0.163073,0.607161,3
0.168003,0.602865,3
0.147131,0.590259,3
0.181449,0.583706,3
0.166759,0.585688,3
0.156742,0.569568,3
0.161365,0.545928,3
0.167774,0.558357,3
0.151539,0.54837,3
0.180095,0.531462,3
0.177141,0.545921,3
0.182364,0.534988,3
0.178439,0.522323,3
0.176905,0.522324,3
0.176589,0.518627,3
0.192246,0.5121,3
0.202272,0.481652,3
0.190457,0.501188,3
0.21236,0.486461,3
0.198924,0.471637,3
0.226649,0.469102,3
0.200383,0.469833,3
0.215933,0.478314,3
0.221186,0.464942,3
0.231042,0.463581,3
0.244184,0.444028,3
0.238854,0.432738,3
0.233879,0.423279,3
0.245125,0.411043,3
0.252944,0.429804,3
0.24577,0.415002,3
0.258453,0.398038,3
0.274112,0.411999,3
0.271604,0.398168,3
0.27648,0.392415,3
0.279115,0.405991,3
0.294735,0.390832,3
0.30725,0.384017,3
0.297077,0.384676,3
0.31656,0.380311,3
0.511646,0.601696,1
0.322148,0.390667,3
0.331732,0.36032,3
0.33628,0.37838,3
0.335443,0.383601,3
0.351413,0.368356,3
0.340792,0.36749,3
0.354761,0.352011,3
0.376913,0.356123,3
0.38009,0.35332,3
0.381443,0.338134,3
0.396393,0.363039,3
0.421795,0.363398,3
0.407686,0.355118,3
0.385766,0.36861,3
0.425039,0.358748,3
0.420723,0.355991,3
0.435949,0.349285,3
0.415345,0.348572,3
0.458004,0.347073,3
0.446014,0.346649,3
0.463446,0.350257,3
0.487199,0.349446,3
0.482517,0.352079,3
0.495193,0.356204,3
0.482657,0.351443,3
0.487052,0.348333,3
0.488565,0.35458,3
0.526497,0.369254,3
0.537067,0.364337,3
0.502753,0.375716,3
0.528573,0.384099,3
0.552453,0.381886,3
0.533119,0.382142,3
0.558306,0.391832,3
0.5509,0.392299,3
0.554085,0.376676,3
0.587325,0.380398,3
0.582388,0.402082,3
0.593298,0.40244,3
0.596434,0.407446,3
0.577996,0.406935,3
0.614786,0.418175,3
0.59798,0.422363,3
0.630842,0.430098,3
0.619544,0.442224,3
0.612447,0.455254,3
0.627136,0.424755,3
0.630235,0.425265,3
0.625709,0.47244,3
0.641541,0.455221,3
0.637528,0.456594,3
0.641149,0.465517,3
0.649835,0.473246,3
0.678119,0.477472,3
0.670486,0.492938,3
0.662708,0.484406,3
0.666395,0.500684,3
0.663899,0.497162,3
0.674632,0.49748,3
0.651478,0.51775,3
0.694826,0.53194,3
0.681766,0.524872,3
0.67715,0.539671,3
0.681564,0.555581,3
0.705935,0.545686,3
0.675428,0.559617,3
0.703259,0.550639,3
0.693994,0.568688,3
0.681294,0.585996,3
0.710424,0.590924,3
0.690593,0.594093,3
0.708212,0.584049,3
0.698371,0.605252,3
0.689252,0.616899,3
0.694036,0.613163,3
0.362407,0.582852,0
0.29945,0.637339,0
0.337734,0.632958,0
0.300294,0.559628,0
0.351823,0.569866,0
0.346533,0.596444,0
0.320145,0.638196,0
0.354651,0.5672,0
0.301888,0.652439,0
0.355767,0.602506,0
0.355026,0.646334,0
0.313204,0.629283,0
0.3646,0.556165,0
0.335044,0.626301,0
0.320837,0.582169,0
0.323114,0.62365,0
0.349817,0.634266,0
0.302829,0.595631,0
0.310634,0.586042,0
0.311447,0.635997,0
0.3814,0.590219,0
0.339858,0.638384,0
0.384098,0.585029,0
0.355398,0.630516,0
0.364807,0.63269,0
